city_name;city_code;age;sex;measurement_date;value;unit
Tübingen;DE14;Less than 5 years old;Females;2010;38904;Number
Tübingen;DE14;Less than 5 years old;Males;2010;40699;Number
Tübingen;DE14;Less than 5 years old;Total;2010;79603;Number
Tübingen;DE14;Less than 5 years old;Females;2016;40383;Number
Tübingen;DE14;Less than 5 years old;Males;2016;42156;Number
Tübingen;DE14;Less than 5 years old;Total;2016;82539;Number
Tübingen;DE14;Less than 5 years old;Females;2022;46378;Number
Tübingen;DE14;Less than 5 years old;Males;2022;48862;Number
Tübingen;DE14;Less than 5 years old;Total;2022;95240;Number
Oberpfalz;DE23;Less than 5 years old;Females;2004;25231;Number
Oberpfalz;DE23;Less than 5 years old;Males;2004;26425;Number
Oberpfalz;DE23;Less than 5 years old;Total;2004;51656;Number
Oberpfalz;DE23;Less than 5 years old;Females;2010;21417;Number
Oberpfalz;DE23;Less than 5 years old;Males;2010;22700;Number
Oberpfalz;DE23;Less than 5 years old;Total;2010;44117;Number
Oberpfalz;DE23;Less than 5 years old;Females;2016;22451;Number
Oberpfalz;DE23;Less than 5 years old;Males;2016;23507;Number
Oberpfalz;DE23;Less than 5 years old;Total;2016;45958;Number
Oberpfalz;DE23;Less than 5 years old;Females;2022;26684;Number
