DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CY00,2022,9213,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CY000,2022,9213,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ,2022,77212,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ0,2022,77212,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ01,2022,485,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ010,2022,485,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ02,2022,10719,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ020,2022,10719,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ03,2022,17141,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ031,2022,9614,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ032,2022,7527,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ04,2022,8474,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ041,2022,3240,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ042,2022,5234,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ05,2022,12252,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ051,2022,3115,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ052,2022,4683,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ053,2022,4454,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ06,2022,13706,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ063,2022,6674,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ064,2022,7032,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ07,2022,9121,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ071,2022,5212,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ072,2022,3909,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ08,2022,5314,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CZ080,2022,5314,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE,2022,353296,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE1,2022,35354,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE11,2022,10549,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE111,2022,206,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE112,2022,618,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE113,2022,641,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE114,2022,642,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE115,2022,685,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE116,2022,858,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE117,2022,100,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE118,2022,1098,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE119,2022,777,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE11A,2022,1484,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE11B,2022,1303,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE11C,2022,627,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE11D,2022,1510,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE12,2022,6860,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE121,2022,139,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE122,2022,169,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE123,2022,1067,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE124,2022,723,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE125,2022,107,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE126,2022,140,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE127,2022,1123,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE128,2022,1054,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE129,2022,98,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE12A,2022,797,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE12B,2022,574,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE12C,2022,869,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE13,2022,9262,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE131,2022,153,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE132,2022,1366,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE133,2022,677,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE134,2022,1843,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,DE135,2022,769,
